producto,categoria,seccion,linea,abastecimiento,negocio
PASTAS QUESO MARUCHAN 64 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ALIM GATO POLLO&CARNE MASTERCAT 1K,ALIMENTO GATO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA GATOS,Centralizado,NON FOOD
GALLETA DELI COOKIE CHIPS BOL COSTA 210G,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CERV SOL 330 CC BOT.,CERVEZAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
DISPLAY BOLSA SANDWICH ALUBAG 50UN 16X14,ENVOLTORIOS,MENAJE,CONSERVACION,Centralizado,NON FOOD
CHUÑO JACINTO 500 GR,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MASTICABLE ALOJAA PELAYO 380 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
LECHE EVAPORADA IDEAL TR 400 GR,LECHE ABARROTES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PISCO MISTRAL NEG 750 CC BOT,PISCOS,PGC ALIMENTACION,VINOS Y LICORES,Centralizado,PGC
YOGHURT CALAN VAINILLA BOLSA 1 KG,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
GALLETA CHOCOCHIPS SANTIAGO 700 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"LECHE CULTIVADA SOPROLE 1LT, CHIRIMOYA",LECHES CULTIVADAS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
ECOCLASSIC 53W CL A55 220V E27 1CT/40SRT,AMPOLLETAS,BAZAR,ILUMINACION,Centralizado,NON FOOD
LIMPIADOR PISO LAVANDA MERKAT 900 ML,LIMPIADORES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
TOALLA NOCT ULTRAFINA MALLA LADYSOFT 8UN,PROTECCION FEMENINA,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
PAP ZERO DESECHABLE 500 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
PATE TERNERA WINTER 125 GR.,PATE,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
"YOGHURT BATIDO ZERO LACTO SOPR, VAINILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
ATUN LOMITO AL AGUA SAN JOSE 178 GR,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
DEO AMB POETT LAVANDA 360 ML,DESODORANTES AMBIENTALES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
VIENESAS S/PIEL LA PREFERIDA 7 UN,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CERV CRISTAL 470 CC LATA.,CERVEZAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
YOGUR SEMIDES CHIRIMOY CARS CALAN 110 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
TALCO DESODORANTE P/PIES EFFICIENT 200GR,CUIDADO PIES,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
